bucket,n,win_rate,avg_multiple,fires_per_day,feature
<-2%,3912,0.296,2.398,29.64,spot_vs_24h_ema
-2:-0.75%,16963,0.245,1.974,128.51,spot_vs_24h_ema
±0.75%,74587,0.227,1.972,565.05,spot_vs_24h_ema
+0.75:+2%,15112,0.22,1.904,114.48,spot_vs_24h_ema
>+2%,3473,0.277,1.726,26.31,spot_vs_24h_ema
<-1%,6758,0.267,2.063,51.2,spot_1h_accel
-1:-0.3%,25039,0.234,1.961,189.69,spot_1h_accel
±0.3%,51658,0.22,1.951,391.35,spot_1h_accel
+0.3:+1%,23514,0.233,1.948,178.14,spot_1h_accel
>+1%,7078,0.283,2.118,53.62,spot_1h_accel
