filter,n_hours,fires_per_week,wr_mag_1p5,wr_call_1p5,wr_put_1p5,wr_mag_2p0,wr_call_2p0,wr_put_2p0,wr_mag_2p5,wr_call_2p5,wr_put_2p5,wr_mag_3p0,wr_call_3p0,wr_put_3p0,wr_mag_3p5,wr_call_3p5,wr_put_3p5,call_skew_2p5,signal_type
BASELINE  (all bars),11977,168.0,0.7386,0.4112,0.4236,0.5799,0.3017,0.3204,0.4399,0.216,0.2419,0.3285,0.1551,0.1811,0.242,0.1152,0.1308,0.89,straddle
BASELINE  (no Saturday),10273,144.1,0.7948,0.4456,0.4575,0.6304,0.3306,0.3475,0.4835,0.2388,0.2651,0.3627,0.1723,0.199,0.269,0.1299,0.1434,0.9,straddle
rv_rank >= 0.60,4576,64.2,0.8011,0.4421,0.4961,0.6573,0.3352,0.3938,0.5326,0.2493,0.3162,0.4159,0.1836,0.2454,0.3164,0.1361,0.186,0.79,puts
rv_rank >= 0.75,3030,42.5,0.8201,0.4647,0.5099,0.6785,0.3512,0.4142,0.5591,0.2584,0.3429,0.4469,0.1954,0.2696,0.3505,0.1479,0.2106,0.75,puts
rv_rank >= 0.60  +  rv_trend > 0,3387,47.5,0.793,0.4305,0.4981,0.6469,0.3271,0.3942,0.5143,0.2391,0.3106,0.3912,0.1724,0.2324,0.3,0.1311,0.1757,0.77,puts
rv_rank >= 0.60  +  no Saturday,4106,57.6,0.832,0.4586,0.5222,0.688,0.3475,0.4191,0.5609,0.2572,0.3405,0.4403,0.189,0.266,0.3373,0.143,0.2007,0.76,puts
"rv_rank < 0.25   (low vol, reference)",3332,46.7,0.6816,0.3607,0.3712,0.5105,0.2449,0.2764,0.3703,0.1639,0.2071,0.2707,0.1104,0.1603,0.1918,0.0786,0.1131,0.79,straddle
vol_z >= 1.5  +  rv_rank >= 0.60,448,6.3,0.8438,0.5402,0.5089,0.7254,0.4464,0.4085,0.6094,0.3504,0.3348,0.4665,0.2589,0.25,0.3795,0.1942,0.2031,1.05,straddle
vol_z >= 2.0  +  rv_rank >= 0.60,297,4.2,0.8485,0.5488,0.5185,0.7407,0.4545,0.4377,0.6296,0.3569,0.3636,0.4815,0.2525,0.2761,0.404,0.1987,0.2256,0.98,straddle
vol_z >= 1.5  +  rv_rank >= 0.60  +  no Sat,440,6.2,0.8409,0.5364,0.5091,0.7227,0.4455,0.4091,0.6068,0.35,0.3341,0.4614,0.2568,0.2477,0.375,0.1932,0.2,1.05,straddle
rv>=0.60  +  vol_z>=1.5  +  range>=1.5,342,4.8,0.8509,0.5175,0.5205,0.7339,0.4269,0.4269,0.6228,0.3421,0.3538,0.4825,0.2485,0.2661,0.3947,0.1871,0.2222,0.97,straddle
rv>=0.60  +  rv_trend>0  +  range>=1.5,549,7.7,0.8506,0.49,0.5483,0.7304,0.3971,0.4517,0.6193,0.326,0.3734,0.4699,0.2277,0.2805,0.3734,0.1767,0.2186,0.87,straddle
bb_width >= 75th pct  (wide),2995,42.0,0.8538,0.5068,0.5292,0.7366,0.3943,0.4427,0.605,0.2952,0.3563,0.4775,0.2204,0.2791,0.3773,0.1746,0.212,0.83,puts
bb_width >= 90th pct  (very wide),1198,16.8,0.909,0.5659,0.5651,0.8105,0.4583,0.4942,0.7012,0.3623,0.4107,0.5743,0.2821,0.3272,0.4783,0.2304,0.2621,0.88,straddle
"bb_width <= 25th pct  (squeeze, reference)",2994,42.0,0.5982,0.3246,0.3136,0.4342,0.2228,0.2218,0.3083,0.1486,0.161,0.2268,0.1005,0.1269,0.1556,0.0661,0.0898,0.92,straddle
4h >= +1%  +  1h <= -0.5%  (calls pullback),142,2.0,0.9225,0.5845,0.493,0.7817,0.4577,0.4225,0.669,0.3803,0.331,0.5282,0.2746,0.2746,0.4225,0.2183,0.2113,1.15,straddle
4h <= -1%  +  1h >= +0.5%  (puts pullback),177,2.5,0.9379,0.6328,0.5876,0.8531,0.5424,0.4746,0.7684,0.4689,0.3955,0.6667,0.4011,0.322,0.548,0.3107,0.2655,1.19,straddle
EITHER MTF pullback  +  rv >= 0.60,243,3.4,0.9424,0.6255,0.5597,0.8313,0.5226,0.4691,0.7407,0.4403,0.3868,0.6296,0.3621,0.3169,0.5226,0.284,0.2634,1.14,straddle
4h >= +1%  +  1h <= -0.5%  +  rv >= 0.60,104,1.5,0.9519,0.6154,0.4904,0.8173,0.4904,0.4231,0.7019,0.4038,0.3365,0.5673,0.3077,0.2788,0.4904,0.2692,0.2308,1.2,straddle
4h <= -1%  +  1h >= +0.5%  +  rv >= 0.60,139,1.9,0.9353,0.6331,0.6115,0.8417,0.5468,0.5036,0.7698,0.4676,0.4245,0.6763,0.4029,0.3453,0.5468,0.295,0.2878,1.1,straddle
