n_hours,fires_per_week,wr_mag_1p5,wr_call_1p5,wr_put_1p5,wr_mag_2p0,wr_call_2p0,wr_put_2p0,wr_mag_2p5,wr_call_2p5,wr_put_2p5,wr_mag_3p0,wr_call_3p0,wr_put_3p0,wr_mag_3p5,wr_call_3p5,wr_put_3p5,call_skew_2p5,signal_type,combination
10273,144.11,0.7948,0.4456,0.4575,0.6304,0.3306,0.3475,0.4835,0.2388,0.2651,0.3627,0.1723,0.199,0.269,0.1299,0.1434,0.9,straddle,baseline_no_sat
243,3.41,0.9424,0.6255,0.5597,0.8313,0.5226,0.4691,0.7407,0.4403,0.3868,0.6296,0.3621,0.3169,0.5226,0.284,0.2634,1.14,straddle,pullback
104,1.46,0.9519,0.6154,0.4904,0.8173,0.4904,0.4231,0.7019,0.4038,0.3365,0.5673,0.3077,0.2788,0.4904,0.2692,0.2308,1.2,straddle,bull_pullback
139,1.95,0.9353,0.6331,0.6115,0.8417,0.5468,0.5036,0.7698,0.4676,0.4245,0.6763,0.4029,0.3453,0.5468,0.295,0.2878,1.1,straddle,bear_pullback
448,6.28,0.8438,0.5402,0.5089,0.7254,0.4464,0.4085,0.6094,0.3504,0.3348,0.4665,0.2589,0.25,0.3795,0.1942,0.2031,1.05,straddle,vol_burst
297,4.17,0.8485,0.5488,0.5185,0.7407,0.4545,0.4377,0.6296,0.3569,0.3636,0.4815,0.2525,0.2761,0.404,0.1987,0.2256,0.98,straddle,vol_surge
154,2.16,0.8961,0.5909,0.6364,0.8182,0.5065,0.5195,0.7338,0.4026,0.4481,0.5974,0.3312,0.3636,0.5065,0.2403,0.3052,0.9,straddle,bear_burst
210,2.95,0.9381,0.6095,0.5571,0.8095,0.5,0.4571,0.7333,0.4238,0.3857,0.6429,0.3619,0.3286,0.5238,0.2762,0.2714,1.1,straddle,pullback_only
415,5.82,0.8337,0.5253,0.5036,0.706,0.4289,0.3976,0.5952,0.3349,0.3301,0.4602,0.2506,0.2506,0.3687,0.1831,0.2024,1.01,straddle,vol_burst_only
33,0.46,0.9697,0.7273,0.5758,0.9697,0.6667,0.5455,0.7879,0.5455,0.3939,0.5455,0.3636,0.2424,0.5152,0.3333,0.2121,1.38,calls,both
658,9.23,0.8739,0.5623,0.5243,0.7523,0.4635,0.424,0.6489,0.3739,0.3511,0.5228,0.2918,0.2751,0.4255,0.2204,0.2249,1.06,straddle,either
