signal,fire_ts,date,hour_utc,rv_rank,dte,delta_target,call_strike,call_actual_delta,call_delta_dist,call_actual_iv,call_ask_usd,call_bid_usd,call_spread_pct,put_strike,put_actual_delta,put_delta_dist,put_actual_iv,put_ask_usd,put_bid_usd,put_spread_pct,straddle_ask_usd,straddle_bid_usd,straddle_spread_pct,straddle_pct_spot,spot_usd,hours_to_expiry,available,skip_reason
pullback,2026-01-06T22:00:00+00:00,2026-01-06,22,0.6528,1,0.1,95000.0,0.1126,0.0126,45.48,83.96,65.3,22.22,91000.0,-0.0656,0.0344,47.82,55.97,37.31,33.33,139.93,102.61,26.67,0.15,93283.84,10.0,False,leg_ask_too_low
pullback,2026-01-06T22:00:00+00:00,2026-01-06,22,0.6528,1,0.15,95000.0,0.1126,0.0374,45.48,83.96,65.3,22.22,92000.0,-0.1839,0.0339,44.17,149.25,121.27,18.75,233.21,186.57,20.0,0.25,93283.84,10.0,True,
pullback,2026-01-06T22:00:00+00:00,2026-01-06,22,0.6528,1,0.2,95000.0,0.1126,0.0874,45.48,83.96,65.3,22.22,92000.0,-0.1839,0.0161,44.17,149.25,121.27,18.75,233.21,186.57,20.0,0.25,93283.84,10.0,True,
pullback,2026-01-06T22:00:00+00:00,2026-01-06,22,0.6528,1,0.25,94000.0,0.2964,0.0464,44.62,270.52,242.54,10.34,92000.0,-0.1839,0.0661,44.17,149.25,121.27,18.75,419.78,363.81,13.33,0.45,93283.84,10.0,True,
pullback,2026-01-06T22:00:00+00:00,2026-01-06,22,0.6528,1,0.3,94000.0,0.2964,0.0036,44.62,270.52,242.54,10.34,92000.0,-0.1839,0.1161,44.17,149.25,121.27,18.75,419.78,363.81,13.33,0.45,93283.84,10.0,True,
pullback,2026-01-06T22:00:00+00:00,2026-01-06,22,0.6528,1,0.35,94000.0,0.2964,0.0536,44.62,270.52,242.54,10.34,93000.0,-0.4283,0.0783,42.97,438.43,410.45,6.38,708.96,652.99,7.89,0.76,93283.84,10.0,True,
pullback,2026-01-06T22:00:00+00:00,2026-01-06,22,0.6528,1,0.4,94000.0,0.2964,0.1036,44.62,270.52,242.54,10.34,93000.0,-0.4283,0.0283,42.97,438.43,410.45,6.38,708.96,652.99,7.89,0.76,93283.84,10.0,True,
pullback,2026-01-06T22:00:00+00:00,2026-01-06,22,0.6528,2,0.1,97000.0,0.0953,0.0047,47.62,139.93,102.61,26.67,90000.0,-0.1145,0.0145,48.83,177.24,149.25,15.79,317.17,251.87,20.59,0.34,93283.84,34.0,True,
pullback,2026-01-06T22:00:00+00:00,2026-01-06,22,0.6528,2,0.15,96000.0,0.1687,0.0187,46.82,251.87,214.55,14.81,90000.0,-0.1145,0.0355,48.83,177.24,149.25,15.79,429.11,363.81,15.22,0.46,93283.84,34.0,True,
pullback,2026-01-06T22:00:00+00:00,2026-01-06,22,0.6528,2,0.2,96000.0,0.1687,0.0313,46.82,251.87,214.55,14.81,91000.0,-0.1918,0.0082,47.0,317.17,279.85,11.76,569.03,494.4,13.11,0.61,93283.84,34.0,True,
pullback,2026-01-06T22:00:00+00:00,2026-01-06,22,0.6528,2,0.25,95000.0,0.2693,0.0193,46.42,447.76,410.45,8.33,92000.0,-0.3061,0.0561,46.12,559.7,513.06,8.33,1007.47,923.51,8.33,1.08,93283.84,34.0,True,
pullback,2026-01-06T22:00:00+00:00,2026-01-06,22,0.6528,2,0.3,95000.0,0.2693,0.0307,46.42,447.76,410.45,8.33,92000.0,-0.3061,0.0061,46.12,559.7,513.06,8.33,1007.47,923.51,8.33,1.08,93283.84,34.0,True,
pullback,2026-01-06T22:00:00+00:00,2026-01-06,22,0.6528,2,0.35,94000.0,0.4041,0.0541,45.93,792.91,699.63,11.76,92000.0,-0.3061,0.0439,46.12,559.7,513.06,8.33,1352.62,1212.69,10.34,1.45,93283.84,34.0,True,
pullback,2026-01-06T22:00:00+00:00,2026-01-06,22,0.6528,2,0.4,94000.0,0.4041,0.0041,45.93,792.91,699.63,11.76,93000.0,-0.4478,0.0478,45.8,979.48,886.2,9.52,1772.39,1585.83,10.53,1.9,93283.84,34.0,True,
pullback,2026-01-06T22:00:00+00:00,2026-01-06,22,0.6528,3,0.1,98000.0,0.1079,0.0079,48.07,205.22,167.91,18.18,89000.0,-0.1192,0.0192,50.0,233.21,205.22,12.0,438.43,373.14,14.89,0.47,93283.84,58.0,True,
pullback,2026-01-06T22:00:00+00:00,2026-01-06,22,0.6528,3,0.15,98000.0,0.1079,0.0421,48.07,205.22,167.91,18.18,90000.0,-0.1749,0.0249,48.3,354.48,326.49,7.89,559.7,494.4,11.67,0.6,93283.84,58.0,True,
pullback,2026-01-06T22:00:00+00:00,2026-01-06,22,0.6528,3,0.2,96000.0,0.2341,0.0341,47.16,513.06,457.09,10.91,90000.0,-0.1749,0.0251,48.3,354.48,326.49,7.89,867.54,783.58,9.68,0.93,93283.84,58.0,True,
pullback,2026-01-06T22:00:00+00:00,2026-01-06,22,0.6528,3,0.25,96000.0,0.2341,0.0159,47.16,513.06,457.09,10.91,91000.0,-0.2526,0.0026,47.32,559.7,513.06,8.33,1072.76,970.15,9.57,1.15,93283.84,58.0,True,
pullback,2026-01-06T22:00:00+00:00,2026-01-06,22,0.6528,3,0.3,95000.0,0.3243,0.0243,46.84,792.91,699.63,11.76,91000.0,-0.2526,0.0474,47.32,559.7,513.06,8.33,1352.62,1212.69,10.34,1.45,93283.84,58.0,True,
pullback,2026-01-06T22:00:00+00:00,2026-01-06,22,0.6528,3,0.35,95000.0,0.3243,0.0257,46.84,792.91,699.63,11.76,92000.0,-0.3489,0.0011,46.55,886.2,792.91,10.53,1679.11,1492.54,11.11,1.8,93283.84,58.0,True,
pullback,2026-01-06T22:00:00+00:00,2026-01-06,22,0.6528,3,0.4,94000.0,0.4289,0.0289,46.63,1119.41,1026.12,8.33,92000.0,-0.3489,0.0511,46.55,886.2,792.91,10.53,2005.6,1819.04,9.3,2.15,93283.84,58.0,True,
pullback,2026-01-06T22:00:00+00:00,2026-01-06,22,0.6528,4,0.1,100000.0,0.0727,0.0273,48.35,158.58,130.6,17.65,88000.0,-0.1125,0.0125,50.98,261.19,233.21,10.71,419.78,363.81,13.33,0.45,93283.84,82.0,True,
pullback,2026-01-06T22:00:00+00:00,2026-01-06,22,0.6528,4,0.15,98000.0,0.1467,0.0034,47.17,335.82,307.84,8.33,89000.0,-0.1549,0.0049,49.32,382.46,345.15,9.76,718.29,652.99,9.09,0.77,93283.84,82.0,True,
pullback,2026-01-06T22:00:00+00:00,2026-01-06,22,0.6528,4,0.2,97000.0,0.2035,0.0035,47.01,513.06,457.09,10.91,90000.0,-0.2125,0.0125,48.27,559.7,513.06,8.33,1072.76,970.15,9.57,1.15,93283.84,82.0,True,
pullback,2026-01-06T22:00:00+00:00,2026-01-06,22,0.6528,4,0.25,96000.0,0.2724,0.0224,46.69,746.27,652.99,12.5,91000.0,-0.2835,0.0335,47.22,792.91,746.27,5.88,1539.18,1399.26,9.09,1.65,93283.84,82.0,True,
pullback,2026-01-06T22:00:00+00:00,2026-01-06,22,0.6528,4,0.3,96000.0,0.2724,0.0276,46.69,746.27,652.99,12.5,91000.0,-0.2835,0.0165,47.22,792.91,746.27,5.88,1539.18,1399.26,9.09,1.65,93283.84,82.0,True,
pullback,2026-01-06T22:00:00+00:00,2026-01-06,22,0.6528,4,0.35,95000.0,0.3539,0.0039,46.59,1026.12,932.84,9.09,92000.0,-0.3683,0.0183,46.7,1119.41,1072.76,4.17,2145.53,2005.6,6.52,2.3,93283.84,82.0,True,
pullback,2026-01-06T22:00:00+00:00,2026-01-06,22,0.6528,4,0.4,94000.0,0.4442,0.0442,46.52,1399.26,1305.97,6.67,92000.0,-0.3683,0.0317,46.7,1119.41,1072.76,4.17,2518.66,2378.74,5.56,2.7,93283.84,82.0,True,
pullback,2026-01-07T01:00:00+00:00,2026-01-07,1,0.7486,1,0.1,96000.0,0.0921,0.0079,44.12,120.56,92.74,23.08,89000.0,-0.0831,0.0169,49.66,111.28,83.46,25.0,231.84,176.2,24.0,0.25,92736.32,31.0,True,
pullback,2026-01-07T01:00:00+00:00,2026-01-07,1,0.7486,1,0.15,95000.0,0.1755,0.0255,43.85,250.39,213.29,14.81,90000.0,-0.1448,0.0052,47.08,204.02,166.93,18.18,454.41,380.22,16.33,0.49,92736.32,31.0,True,
pullback,2026-01-07T01:00:00+00:00,2026-01-07,1,0.7486,1,0.2,95000.0,0.1755,0.0245,43.85,250.39,213.29,14.81,91000.0,-0.2417,0.0417,45.0,380.22,333.85,12.2,630.61,547.14,13.24,0.68,92736.32,31.0,True,
pullback,2026-01-07T01:00:00+00:00,2026-01-07,1,0.7486,1,0.25,94000.0,0.2974,0.0474,43.78,510.05,435.86,14.55,91000.0,-0.2417,0.0083,45.0,380.22,333.85,12.2,890.27,769.71,13.54,0.96,92736.32,31.0,True,
pullback,2026-01-07T01:00:00+00:00,2026-01-07,1,0.7486,1,0.3,94000.0,0.2974,0.0026,43.78,510.05,435.86,14.55,91000.0,-0.2417,0.0583,45.0,380.22,333.85,12.2,890.27,769.71,13.54,0.96,92736.32,31.0,True,
