signal,fire_ts,date,hour_utc,rv_rank,dte,delta_target,entry_ask_usd,call_strike,put_strike,peak_bid_usd,peak_multiple,time_to_peak_h,final_bid_usd,final_multiple,n_bars,value_at_4h,multiple_at_4h,value_at_8h,multiple_at_8h,value_at_12h,multiple_at_12h,value_at_18h,multiple_at_18h,value_at_24h,multiple_at_24h
pullback,2026-01-06T22:00:00+00:00,2026-01-06,22,0.6528,1,0.15,233.21,95000.0,92000.0,230.91,0.9901,3.33,194.33,0.8333,42,,,,,,,,,,
pullback,2026-01-06T22:00:00+00:00,2026-01-06,22,0.6528,1,0.2,233.21,95000.0,92000.0,230.91,0.9901,3.33,194.33,0.8333,42,,,,,,,,,,
pullback,2026-01-06T22:00:00+00:00,2026-01-06,22,0.6528,1,0.25,419.78,94000.0,92000.0,383.59,0.9138,1.67,46.34,0.1104,81,212.49,0.5062,,,,,,,,
pullback,2026-01-06T22:00:00+00:00,2026-01-06,22,0.6528,1,0.3,419.78,94000.0,92000.0,383.59,0.9138,1.67,46.34,0.1104,81,212.49,0.5062,,,,,,,,
pullback,2026-01-06T22:00:00+00:00,2026-01-06,22,0.6528,1,0.35,708.96,94000.0,93000.0,757.62,1.0686,3.75,380.01,0.536,81,711.39,1.0034,,,,,,,,
pullback,2026-01-06T22:00:00+00:00,2026-01-06,22,0.6528,1,0.4,708.96,94000.0,93000.0,757.62,1.0686,3.75,380.01,0.536,81,711.39,1.0034,,,,,,,,
pullback,2026-01-06T22:00:00+00:00,2026-01-06,22,0.6528,2,0.1,317.17,97000.0,90000.0,264.19,0.833,17.33,182.67,0.5759,216,212.49,0.67,138.77,0.4375,219.79,0.693,182.67,0.5759,,
pullback,2026-01-06T22:00:00+00:00,2026-01-06,22,0.6528,2,0.15,429.11,96000.0,90000.0,363.84,0.8479,0.08,155.01,0.3612,223,249.45,0.5813,166.52,0.3881,228.94,0.5335,182.67,0.4257,,
pullback,2026-01-06T22:00:00+00:00,2026-01-06,22,0.6528,2,0.2,569.03,96000.0,91000.0,601.26,1.0566,17.33,419.43,0.7371,223,443.46,0.7793,323.8,0.569,476.2,0.8369,465.8,0.8186,,
pullback,2026-01-06T22:00:00+00:00,2026-01-06,22,0.6528,2,0.25,1007.47,95000.0,92000.0,1156.97,1.1484,17.33,966.48,0.9593,242,840.73,0.8345,666.1,0.6612,952.41,0.9453,977.26,0.97,,
pullback,2026-01-06T22:00:00+00:00,2026-01-06,22,0.6528,2,0.3,1007.47,95000.0,92000.0,1156.97,1.1484,17.33,966.48,0.9593,242,840.73,0.8345,666.1,0.6612,952.41,0.9453,977.26,0.97,,
pullback,2026-01-06T22:00:00+00:00,2026-01-06,22,0.6528,2,0.35,1352.62,94000.0,92000.0,1333.44,0.9858,21.25,1054.2,0.7794,288,1025.5,0.7582,832.62,0.6156,1025.67,0.7583,986.39,0.7292,1054.2,0.7794
pullback,2026-01-06T22:00:00+00:00,2026-01-06,22,0.6528,2,0.4,1772.39,94000.0,93000.0,2196.51,1.2393,21.17,1872.11,1.0563,288,1533.64,0.8653,1341.45,0.7569,1666.71,0.9404,1762.72,0.9945,1872.11,1.0563
pullback,2026-01-06T22:00:00+00:00,2026-01-06,22,0.6528,3,0.1,438.43,98000.0,89000.0,426.26,0.9722,21.42,281.73,0.6426,288,332.6,0.7586,240.54,0.5486,311.36,0.7102,283.13,0.6458,281.73,0.6426
pullback,2026-01-06T22:00:00+00:00,2026-01-06,22,0.6528,3,0.15,559.7,98000.0,90000.0,689.28,1.2315,21.42,472.57,0.8443,288,498.89,0.8914,379.31,0.6777,531.15,0.949,511.46,0.9138,472.57,0.8443
pullback,2026-01-06T22:00:00+00:00,2026-01-06,22,0.6528,3,0.2,867.54,96000.0,90000.0,790.91,0.9117,0.58,499.83,0.5762,288,646.71,0.7455,508.83,0.5865,604.41,0.6967,548.0,0.6317,499.83,0.5762
pullback,2026-01-06T22:00:00+00:00,2026-01-06,22,0.6528,3,0.25,1072.76,96000.0,91000.0,1169.95,1.0906,21.42,908.79,0.8472,288,868.45,0.8095,740.11,0.6899,924.93,0.8622,867.66,0.8088,908.79,0.8472
pullback,2026-01-06T22:00:00+00:00,2026-01-06,22,0.6528,3,0.3,1352.62,95000.0,91000.0,1235.86,0.9137,1.58,936.05,0.692,288,1034.74,0.765,888.13,0.6566,1016.51,0.7515,922.46,0.682,936.05,0.692
pullback,2026-01-06T22:00:00+00:00,2026-01-06,22,0.6528,3,0.35,1679.11,95000.0,92000.0,1786.67,1.0641,21.42,1526.77,0.9093,288,1404.29,0.8363,1211.93,0.7218,1474.4,0.8781,1470.46,0.8757,1526.77,0.9093
pullback,2026-01-06T22:00:00+00:00,2026-01-06,22,0.6528,3,0.4,2005.6,94000.0,92000.0,1873.74,0.9343,1.92,1599.47,0.7975,288,1662.98,0.8292,1433.96,0.715,1620.92,0.8082,1561.79,0.7787,1599.47,0.7975
pullback,2026-01-06T22:00:00+00:00,2026-01-06,22,0.6528,4,0.1,419.78,100000.0,88000.0,444.4,1.0587,21.42,336.25,0.801,288,341.83,0.8143,277.54,0.6612,338.84,0.8072,347.06,0.8268,336.25,0.801
pullback,2026-01-06T22:00:00+00:00,2026-01-06,22,0.6528,4,0.15,718.29,98000.0,89000.0,671.95,0.9355,22.42,554.36,0.7718,288,582.04,0.8103,490.32,0.6826,540.31,0.7522,557.13,0.7756,554.36,0.7718
pullback,2026-01-06T22:00:00+00:00,2026-01-06,22,0.6528,4,0.2,1072.76,97000.0,90000.0,1061.12,0.9892,21.42,854.26,0.7963,288,859.21,0.8009,740.11,0.6899,860.83,0.8024,867.66,0.8088,854.26,0.7963
pullback,2026-01-06T22:00:00+00:00,2026-01-06,22,0.6528,4,0.25,1539.18,96000.0,91000.0,1560.22,1.0137,21.25,1354.1,0.8798,288,1330.38,0.8643,1156.42,0.7513,1318.71,0.8568,1342.59,0.8723,1354.1,0.8798
pullback,2026-01-06T22:00:00+00:00,2026-01-06,22,0.6528,4,0.3,1539.18,96000.0,91000.0,1560.22,1.0137,21.25,1354.1,0.8798,288,1330.38,0.8643,1156.42,0.7513,1318.71,0.8568,1342.59,0.8723,1354.1,0.8798
pullback,2026-01-06T22:00:00+00:00,2026-01-06,22,0.6528,4,0.35,2145.53,95000.0,92000.0,2231.07,1.0399,21.42,1962.99,0.9149,288,1893.95,0.8827,1757.76,0.8193,1923.13,0.8963,1945.39,0.9067,1962.99,0.9149
pullback,2026-01-06T22:00:00+00:00,2026-01-06,22,0.6528,4,0.4,2518.66,94000.0,92000.0,2425.58,0.963,0.08,2090.22,0.8299,288,2171.11,0.862,2035.3,0.8081,2106.28,0.8363,2109.78,0.8377,2090.22,0.8299
pullback,2026-01-07T01:00:00+00:00,2026-01-07,1,0.7486,1,0.1,231.84,96000.0,89000.0,176.3,0.7604,0.08,63.83,0.2753,187,120.39,0.5193,64.81,0.2795,64.37,0.2776,,,,
pullback,2026-01-07T01:00:00+00:00,2026-01-07,1,0.7486,1,0.15,454.41,95000.0,90000.0,380.44,0.8372,0.08,136.77,0.301,206,268.57,0.591,157.4,0.3464,156.32,0.344,,,,
pullback,2026-01-07T01:00:00+00:00,2026-01-07,1,0.7486,1,0.2,630.61,95000.0,91000.0,610.37,0.9679,14.33,401.18,0.6362,206,416.75,0.6609,259.24,0.4111,340.22,0.5395,,,,
pullback,2026-01-07T01:00:00+00:00,2026-01-07,1,0.7486,1,0.25,890.27,94000.0,91000.0,770.16,0.8651,0.08,381.88,0.4289,262,601.97,0.6762,407.38,0.4576,413.78,0.4648,608.55,0.6836,,
pullback,2026-01-07T01:00:00+00:00,2026-01-07,1,0.7486,1,0.3,890.27,94000.0,91000.0,770.16,0.8651,0.08,381.88,0.4289,262,601.97,0.6762,407.38,0.4576,413.78,0.4648,608.55,0.6836,,
pullback,2026-01-07T01:00:00+00:00,2026-01-07,1,0.7486,1,0.35,1205.57,94000.0,92000.0,1333.44,1.1061,18.25,1009.24,0.8372,262,879.8,0.7298,629.59,0.5222,790.78,0.6559,1244.35,1.0322,,
pullback,2026-01-07T01:00:00+00:00,2026-01-07,1,0.7486,1,0.4,1576.52,93000.0,92000.0,1391.85,0.8829,0.08,739.45,0.469,288,1203.93,0.7637,907.35,0.5755,974.68,0.6182,1262.52,0.8008,739.45,0.469
pullback,2026-01-07T01:00:00+00:00,2026-01-07,1,0.7486,2,0.1,287.48,98000.0,88000.0,253.94,0.8833,18.42,118.68,0.4128,288,175.96,0.6121,120.36,0.4187,147.12,0.5118,181.66,0.6319,118.68,0.4128
pullback,2026-01-07T01:00:00+00:00,2026-01-07,1,0.7486,2,0.15,593.51,96000.0,89000.0,528.9,0.8911,0.08,228.23,0.3845,288,416.75,0.7022,314.8,0.5304,312.63,0.5268,363.31,0.6121,228.23,0.3845
pullback,2026-01-07T01:00:00+00:00,2026-01-07,1,0.7486,2,0.2,760.44,96000.0,90000.0,716.48,0.9422,18.42,410.81,0.5402,288,555.66,0.7307,416.64,0.5479,478.15,0.6288,626.72,0.8242,410.81,0.5402
pullback,2026-01-07T01:00:00+00:00,2026-01-07,1,0.7486,2,0.25,992.28,95000.0,90000.0,872.23,0.879,0.08,438.19,0.4416,288,713.1,0.7186,555.52,0.5598,570.1,0.5745,653.97,0.6591,438.19,0.4416
pullback,2026-01-07T01:00:00+00:00,2026-01-07,1,0.7486,2,0.3,1251.94,95000.0,91000.0,1197.16,0.9562,18.42,748.58,0.5979,288,935.36,0.7471,749.95,0.599,836.75,0.6684,1108.11,0.8851,748.58,0.5979
pullback,2026-01-07T01:00:00+00:00,2026-01-07,1,0.7486,2,0.35,1530.15,94000.0,91000.0,1345.45,0.8793,0.08,812.48,0.531,288,1203.93,0.7868,990.68,0.6474,1011.46,0.661,1171.69,0.7657,812.48,0.531
pullback,2026-01-07T01:00:00+00:00,2026-01-07,1,0.7486,2,0.4,1854.73,94000.0,92000.0,1841.42,0.9928,18.25,1360.23,0.7334,288,1528.07,0.8239,1296.22,0.6989,1425.24,0.7684,1762.08,0.95,1360.23,0.7334
pullback,2026-01-07T01:00:00+00:00,2026-01-07,1,0.7486,3,0.1,547.14,98000.0,88000.0,463.95,0.848,0.08,310.39,0.5673,288,379.7,0.694,314.8,0.5753,358.61,0.6554,408.73,0.747,310.39,0.5673
pullback,2026-01-07T01:00:00+00:00,2026-01-07,1,0.7486,3,0.15,667.7,97000.0,88000.0,584.58,0.8755,0.08,328.64,0.4922,288,481.57,0.7212,398.12,0.5963,413.78,0.6197,435.98,0.653,328.64,0.4922
pullback,2026-01-07T01:00:00+00:00,2026-01-07,1,0.7486,3,0.2,1001.55,96000.0,89000.0,881.5,0.8801,0.08,529.48,0.5287,288,750.14,0.749,638.85,0.6379,671.24,0.6702,699.38,0.6983,529.48,0.5287
pullback,2026-01-07T01:00:00+00:00,2026-01-07,1,0.7486,3,0.25,1205.57,96000.0,90000.0,1106.47,0.9178,18.42,748.58,0.6209,288,916.84,0.7605,805.51,0.6682,864.34,0.717,1017.28,0.8438,748.58,0.6209
pullback,2026-01-07T01:00:00+00:00,2026-01-07,1,0.7486,3,0.3,1715.62,95000.0,91000.0,1641.86,0.957,18.25,1241.55,0.7237,288,1389.15,0.8097,1249.92,0.7286,1379.27,0.8039,1553.17,0.9053,1241.55,0.7237
pullback,2026-01-07T01:00:00+00:00,2026-01-07,1,0.7486,3,0.35,2040.2,94000.0,91000.0,1855.8,0.9096,0.08,1378.48,0.6757,288,1713.29,0.8398,1527.68,0.7488,1609.14,0.7887,1680.33,0.8236,1378.48,0.6757
pullback,2026-01-07T01:00:00+00:00,2026-01-07,1,0.7486,3,0.4,2411.14,94000.0,92000.0,2358.05,0.978,18.42,1880.58,0.78,288,2083.73,0.8642,1898.03,0.7872,2068.9,0.8581,2225.3,0.9229,1880.58,0.78
pullback,2026-01-12T18:00:00+00:00,2026-01-12,18,0.7125,1,0.25,411.41,92000.0,90000.0,459.09,1.1159,0.5,18.25,0.0444,115,164.08,0.3988,45.56,0.1107,,,,,,
pullback,2026-01-12T18:00:00+00:00,2026-01-12,18,0.7125,1,0.3,612.54,92000.0,91000.0,578.46,0.9444,0.5,36.65,0.0598,133,455.76,0.7441,218.67,0.357,,,,,,
pullback,2026-01-12T18:00:00+00:00,2026-01-12,18,0.7125,1,0.35,612.54,92000.0,91000.0,578.46,0.9444,0.5,36.65,0.0598,133,455.76,0.7441,218.67,0.357,,,,,,
pullback,2026-01-12T18:00:00+00:00,2026-01-12,18,0.7125,1,0.4,612.54,92000.0,91000.0,578.46,0.9444,0.5,36.65,0.0598,133,455.76,0.7441,218.67,0.357,,,,,,
pullback,2026-01-12T18:00:00+00:00,2026-01-12,18,0.7125,2,0.15,383.98,94000.0,89000.0,374.54,0.9754,22.83,195.7,0.5097,288,291.69,0.7596,200.45,0.522,156.09,0.4065,119.53,0.3113,195.7,0.5097
pullback,2026-01-12T18:00:00+00:00,2026-01-12,18,0.7125,2,0.2,557.69,93000.0,89000.0,898.91,1.6118,22.83,568.45,1.0193,288,391.96,0.7028,291.56,0.5228,330.55,0.5927,303.43,0.5441,568.45,1.0193
pullback,2026-01-12T18:00:00+00:00,2026-01-12,18,0.7125,2,0.25,731.39,93000.0,90000.0,898.91,1.229,22.83,568.45,0.7772,288,619.84,0.8475,455.57,0.6229,431.55,0.59,386.18,0.528,568.45,0.7772
pullback,2026-01-12T18:00:00+00:00,2026-01-12,18,0.7125,2,0.3,731.39,93000.0,90000.0,898.91,1.229,22.83,568.45,0.7772,288,619.84,0.8475,455.57,0.6229,431.55,0.59,386.18,0.528,568.45,0.7772
pullback,2026-01-12T18:00:00+00:00,2026-01-12,18,0.7125,2,0.35,1417.07,92000.0,91000.0,1666.72,1.1762,22.83,1295.32,0.9141,284,1230.56,0.8684,993.14,0.7008,1028.37,0.7257,956.26,0.6748,1295.32,0.9141
pullback,2026-01-12T18:00:00+00:00,2026-01-12,18,0.7125,2,0.4,1417.07,92000.0,91000.0,1666.72,1.1762,22.83,1295.32,0.9141,284,1230.56,0.8684,993.14,0.7008,1028.37,0.7257,956.26,0.6748,1295.32,0.9141
pullback,2026-01-12T18:00:00+00:00,2026-01-12,18,0.7125,3,0.1,347.41,95000.0,87000.0,402.63,1.159,22.83,270.25,0.7779,284,246.11,0.7084,191.34,0.5508,192.82,0.555,147.12,0.4235,270.25,0.7779
pullback,2026-01-12T18:00:00+00:00,2026-01-12,18,0.7125,3,0.15,429.69,95000.0,88000.0,412.34,0.9596,22.92,279.57,0.6506,284,355.5,0.8273,273.34,0.6361,238.73,0.5556,183.9,0.428,279.57,0.6506
pullback,2026-01-12T18:00:00+00:00,2026-01-12,18,0.7125,3,0.2,703.96,94000.0,89000.0,749.71,1.065,22.92,568.45,0.8075,284,619.84,0.8805,510.24,0.7248,468.27,0.6652,395.38,0.5616,568.45,0.8075
pullback,2026-01-12T18:00:00+00:00,2026-01-12,18,0.7125,3,0.25,703.96,94000.0,89000.0,749.71,1.065,22.92,568.45,0.8075,284,619.84,0.8805,510.24,0.7248,468.27,0.6652,395.38,0.5616,568.45,0.8075
pullback,2026-01-12T18:00:00+00:00,2026-01-12,18,0.7125,3,0.3,1234.22,93000.0,90000.0,1311.99,1.063,22.92,1080.99,0.8758,288,1057.37,0.8567,883.8,0.7161,881.46,0.7142,799.95,0.6481,1080.99,0.8758
pullback,2026-01-12T18:00:00+00:00,2026-01-12,18,0.7125,3,0.35,1234.22,93000.0,90000.0,1311.99,1.063,22.92,1080.99,0.8758,288,1057.37,0.8567,883.8,0.7161,881.46,0.7142,799.95,0.6481,1080.99,0.8758
pullback,2026-01-12T18:00:00+00:00,2026-01-12,18,0.7125,3,0.4,1919.9,92000.0,91000.0,2059.17,1.0725,22.08,1789.22,0.9319,284,1731.91,0.9021,1594.49,0.8305,1560.91,0.813,1471.17,0.7663,1789.22,0.9319
pullback,2026-01-12T18:00:00+00:00,2026-01-12,18,0.7125,4,0.1,356.55,96000.0,86000.0,421.36,1.1818,22.83,288.88,0.8102,288,300.8,0.8437,246.01,0.69,229.55,0.6438,193.09,0.5416,288.88,0.8102
pullback,2026-01-12T18:00:00+00:00,2026-01-12,18,0.7125,4,0.15,676.54,95000.0,88000.0,702.85,1.0389,22.92,549.81,0.8127,288,610.72,0.9027,510.24,0.7542,477.46,0.7057,413.77,0.6116,549.81,0.8127
pullback,2026-01-12T18:00:00+00:00,2026-01-12,18,0.7125,4,0.2,676.54,95000.0,88000.0,702.85,1.0389,22.92,549.81,0.8127,288,610.72,0.9027,510.24,0.7542,477.46,0.7057,413.77,0.6116,549.81,0.8127
pullback,2026-01-12T18:00:00+00:00,2026-01-12,18,0.7125,4,0.25,1097.09,94000.0,89000.0,1123.18,1.0238,22.08,875.97,0.7985,288,938.87,0.8558,829.13,0.7558,798.82,0.7281,698.8,0.637,875.97,0.7985
pullback,2026-01-12T18:00:00+00:00,2026-01-12,18,0.7125,4,0.3,1599.92,93000.0,90000.0,1769.72,1.1061,22.83,1435.1,0.897,288,1458.45,0.9116,1275.59,0.7973,1285.46,0.8035,1149.35,0.7184,1435.1,0.897
pullback,2026-01-12T18:00:00+00:00,2026-01-12,18,0.7125,4,0.35,1599.92,93000.0,90000.0,1769.72,1.1061,22.83,1435.1,0.897,288,1458.45,0.9116,1275.59,0.7973,1285.46,0.8035,1149.35,0.7184,1435.1,0.897
pullback,2026-01-12T18:00:00+00:00,2026-01-12,18,0.7125,4,0.4,2377.02,92000.0,91000.0,2511.52,1.0566,22.92,2199.25,0.9252,288,2187.67,0.9203,2095.61,0.8816,2020.0,0.8498,1884.93,0.793,2199.25,0.9252
pullback,2026-01-21T01:00:00+00:00,2026-01-21,1,0.65,1,0.1,275.36,92000.0,85000.0,231.3,0.84,0.17,35.94,0.1305,236,160.86,0.5842,98.01,0.3559,132.9,0.4827,35.36,0.1284,,
pullback,2026-01-21T01:00:00+00:00,2026-01-21,1,0.65,1,0.15,506.31,91000.0,86000.0,435.57,0.8603,0.33,35.78,0.0707,246,330.65,0.6531,231.65,0.4575,265.81,0.525,88.4,0.1746,,
pullback,2026-01-21T01:00:00+00:00,2026-01-21,1,0.65,1,0.2,506.31,91000.0,86000.0,435.57,0.8603,0.33,35.78,0.0707,246,330.65,0.6531,231.65,0.4575,265.81,0.525,88.4,0.1746,,
pullback,2026-01-21T01:00:00+00:00,2026-01-21,1,0.65,1,0.25,879.38,90000.0,87000.0,908.02,1.0326,4.83,269.27,0.3062,287,714.92,0.813,561.32,0.6383,584.77,0.665,247.53,0.2815,269.27,0.3062
pullback,2026-01-21T01:00:00+00:00,2026-01-21,1,0.65,1,0.3,879.38,90000.0,87000.0,908.02,1.0326,4.83,269.27,0.3062,287,714.92,0.813,561.32,0.6383,584.77,0.665,247.53,0.2815,269.27,0.3062
pullback,2026-01-21T01:00:00+00:00,2026-01-21,1,0.65,1,0.35,1110.33,90000.0,88000.0,1195.0,1.0763,16.25,278.25,0.2506,288,866.84,0.7807,730.6,0.658,788.56,0.7102,477.38,0.4299,278.25,0.2506
pullback,2026-01-21T01:00:00+00:00,2026-01-21,1,0.65,1,0.4,1554.46,89000.0,88000.0,1636.23,1.0526,4.83,870.65,0.5601,288,1358.35,0.8738,1176.09,0.7566,1151.82,0.741,698.38,0.4493,870.65,0.5601
pullback,2026-01-21T01:00:00+00:00,2026-01-21,1,0.65,2,0.1,355.3,93000.0,84000.0,314.01,0.8838,16.25,80.78,0.2274,288,232.35,0.654,178.2,0.5015,212.64,0.5985,123.76,0.3483,80.78,0.2274
pullback,2026-01-21T01:00:00+00:00,2026-01-21,1,0.65,2,0.15,541.84,92000.0,85000.0,489.27,0.903,0.25,170.54,0.3147,288,411.08,0.7587,320.75,0.592,354.41,0.6541,221.01,0.4079,170.54,0.3147
pullback,2026-01-21T01:00:00+00:00,2026-01-21,1,0.65,2,0.2,897.14,91000.0,86000.0,809.56,0.9024,0.17,385.96,0.4302,288,705.98,0.7869,605.87,0.6753,637.93,0.7111,424.33,0.473,385.96,0.4302
pullback,2026-01-21T01:00:00+00:00,2026-01-21,1,0.65,2,0.25,1074.8,91000.0,87000.0,1107.77,1.0307,16.25,430.84,0.4009,288,848.97,0.7899,748.42,0.6963,797.42,0.7419,601.14,0.5593,430.84,0.4009
pullback,2026-01-21T01:00:00+00:00,2026-01-21,1,0.65,2,0.3,1421.22,90000.0,87000.0,1375.51,0.9678,4.83,789.87,0.5558,288,1224.3,0.8614,1042.45,0.7335,1063.22,0.7481,777.95,0.5474,789.87,0.5558
pullback,2026-01-21T01:00:00+00:00,2026-01-21,1,0.65,2,0.35,1687.7,90000.0,88000.0,1744.53,1.0337,16.25,897.58,0.5318,288,1429.84,0.8472,1247.37,0.7391,1373.33,0.8137,1087.36,0.6443,897.58,0.5318
pullback,2026-01-21T01:00:00+00:00,2026-01-21,1,0.65,2,0.4,1687.7,90000.0,88000.0,1744.53,1.0337,16.25,897.58,0.5318,288,1429.84,0.8472,1247.37,0.7391,1373.33,0.8137,1087.36,0.6443,897.58,0.5318
pullback,2026-01-21T01:00:00+00:00,2026-01-21,1,0.65,3,0.1,328.66,94000.0,82000.0,275.51,0.8383,0.08,98.73,0.3004,288,223.41,0.6798,178.2,0.5422,203.78,0.62,141.44,0.4304,98.73,0.3004
pullback,2026-01-21T01:00:00+00:00,2026-01-21,1,0.65,3,0.15,559.6,93000.0,84000.0,505.91,0.9041,16.25,197.47,0.3529,288,411.08,0.7346,356.39,0.6369,398.71,0.7125,291.73,0.5213,197.47,0.3529
pullback,2026-01-21T01:00:00+00:00,2026-01-21,1,0.65,3,0.2,852.73,92000.0,85000.0,764.56,0.8966,0.42,376.98,0.4421,288,661.3,0.7755,570.23,0.6687,637.93,0.7481,468.54,0.5495,376.98,0.4421
pullback,2026-01-21T01:00:00+00:00,2026-01-21,1,0.65,3,0.25,1243.56,91000.0,86000.0,1131.53,0.9099,5.0,691.14,0.5558,288,1027.7,0.8264,908.8,0.7308,974.62,0.7837,760.26,0.6114,691.14,0.5558
pullback,2026-01-21T01:00:00+00:00,2026-01-21,1,0.65,3,0.3,1465.63,91000.0,87000.0,1430.51,0.976,16.25,780.9,0.5328,288,1206.43,0.8231,1069.18,0.7295,1196.12,0.8161,981.27,0.6695,780.9,0.5328
pullback,2026-01-21T01:00:00+00:00,2026-01-21,1,0.65,3,0.35,1820.93,90000.0,87000.0,1753.1,0.9627,4.83,1184.81,0.6507,288,1608.57,0.8834,1470.12,0.8073,1506.23,0.8272,1193.44,0.6554,1184.81,0.6507
pullback,2026-01-21T01:00:00+00:00,2026-01-21,1,0.65,3,0.4,2131.83,90000.0,88000.0,2075.99,0.9738,16.25,1355.35,0.6358,288,1831.99,0.8593,1737.41,0.815,1816.34,0.852,1547.05,0.7257,1355.35,0.6358
pullback,2026-01-21T17:00:00+00:00,2026-01-21,17,1.0,1,0.1,192.94,90000.0,84000.0,549.31,2.8471,2.75,549.31,2.8471,33,,,,,,,,,,
pullback,2026-01-21T17:00:00+00:00,2026-01-21,17,1.0,1,0.15,412.2,89000.0,85000.0,1362.82,3.3062,2.83,997.29,2.4194,44,,,,,,,,,,
pullback,2026-01-21T17:00:00+00:00,2026-01-21,17,1.0,1,0.2,552.52,89000.0,86000.0,1362.82,2.4666,2.83,590.3,1.0684,54,1133.79,2.052,,,,,,,,
pullback,2026-01-21T17:00:00+00:00,2026-01-21,17,1.0,1,0.25,552.52,89000.0,86000.0,1362.82,2.4666,2.83,590.3,1.0684,54,1133.79,2.052,,,,,,,,
pullback,2026-01-21T17:00:00+00:00,2026-01-21,17,1.0,1,0.3,552.52,89000.0,86000.0,1362.82,2.4666,2.83,590.3,1.0684,54,1133.79,2.052,,,,,,,,
pullback,2026-01-21T17:00:00+00:00,2026-01-21,17,1.0,1,0.35,1183.97,88000.0,87000.0,2270.91,1.918,3.0,1989.48,1.6803,100,2078.61,1.7556,1759.26,1.4859,,,,,,
pullback,2026-01-21T17:00:00+00:00,2026-01-21,17,1.0,1,0.4,1183.97,88000.0,87000.0,2270.91,1.918,3.0,1989.48,1.6803,100,2078.61,1.7556,1759.26,1.4859,,,,,,
pullback,2026-01-21T17:00:00+00:00,2026-01-21,17,1.0,2,0.1,394.66,91000.0,84000.0,613.72,1.5551,2.83,106.74,0.2705,235,467.91,1.1856,332.1,0.8415,305.76,0.7747,215.95,0.5472,106.74,0.2705
pullback,2026-01-21T17:00:00+00:00,2026-01-21,17,1.0,2,0.15,526.21,90000.0,84000.0,1110.11,2.1096,2.83,257.97,0.4902,235,917.83,1.7442,691.14,1.3134,692.46,1.3159,593.87,1.1286,257.97,0.4902
pullback,2026-01-21T17:00:00+00:00,2026-01-21,17,1.0,2,0.2,666.53,90000.0,85000.0,1128.16,1.6926,2.83,275.76,0.4137,287,935.82,1.404,709.09,1.0639,692.46,1.0389,593.87,0.891,275.76,0.4137
pullback,2026-01-21T17:00:00+00:00,2026-01-21,17,1.0,2,0.25,1140.12,89000.0,86000.0,1750.91,1.5357,2.83,649.37,0.5696,288,1592.7,1.397,1328.42,1.1652,1294.99,1.1358,1241.73,1.0891,649.37,0.5696
pullback,2026-01-21T17:00:00+00:00,2026-01-21,17,1.0,2,0.3,1140.12,89000.0,86000.0,1750.91,1.5357,2.83,649.37,0.5696,288,1592.7,1.397,1328.42,1.1652,1294.99,1.1358,1241.73,1.0891,649.37,0.5696
pullback,2026-01-21T17:00:00+00:00,2026-01-21,17,1.0,2,0.35,1140.12,89000.0,86000.0,1750.91,1.5357,2.83,649.37,0.5696,288,1592.7,1.397,1328.42,1.1652,1294.99,1.1358,1241.73,1.0891,649.37,0.5696
pullback,2026-01-21T17:00:00+00:00,2026-01-21,17,1.0,2,0.4,1841.73,88000.0,87000.0,2559.28,1.3896,3.0,1378.79,0.7486,288,2357.56,1.2801,2136.24,1.1599,2149.32,1.167,2069.54,1.1237,1378.79,0.7486
pullback,2026-01-21T17:00:00+00:00,2026-01-21,17,1.0,3,0.1,350.81,92000.0,82000.0,523.47,1.4922,2.83,151.22,0.4311,288,422.92,1.2056,305.18,0.8699,296.77,0.846,260.94,0.7438,151.22,0.4311
pullback,2026-01-21T17:00:00+00:00,2026-01-21,17,1.0,3,0.15,657.76,91000.0,84000.0,929.61,1.4133,2.83,320.23,0.4869,288,737.86,1.1218,592.4,0.9006,584.54,0.8887,530.88,0.8071,320.23,0.4869
pullback,2026-01-21T17:00:00+00:00,2026-01-21,17,1.0,3,0.2,833.16,90000.0,84000.0,1380.87,1.6574,2.83,560.41,0.6726,288,1232.77,1.4796,996.31,1.1958,989.23,1.1873,935.79,1.1232,560.41,0.6726
pullback,2026-01-21T17:00:00+00:00,2026-01-21,17,1.0,3,0.25,1008.57,90000.0,85000.0,1416.97,1.4049,2.83,595.99,0.5909,288,1268.76,1.258,1041.19,1.0323,1025.2,1.0165,962.79,0.9546,595.99,0.5909
