signal,dte,delta_target,tp,time_stop_h,sl,n_fires,mean_exit_multiple,median_exit_multiple,std_exit_multiple,win_rate,hit_tp_pct,hit_sl_pct,hit_ts_pct,hit_expiry_pct,mean_entry_ask_usd,expected_dollar_pnl,median_dollar_pnl
pullback,1,0.1,2.5,12,,34,0.8152,0.3833,1.0152,0.2059,0.1765,0.0,0.4706,0.3529,278.14,-48.97,-176.33
pullback,1,0.15,2.5,16,,51,0.8222,0.3534,0.985,0.2745,0.1961,0.0,0.2157,0.5882,376.66,-10.21,-199.33
pullback,1,0.2,2.0,16,0.3,53,0.7416,0.2972,0.746,0.2264,0.2075,0.6038,0.0755,0.1132,480.17,-62.76,-237.81
pullback,1,0.25,2.0,16,0.3,54,0.761,0.2964,0.7586,0.2407,0.1852,0.5741,0.1296,0.1111,616.72,-53.64,-293.27
pullback,1,0.3,2.0,16,0.3,54,0.7462,0.298,0.6945,0.2407,0.1667,0.537,0.2037,0.0926,789.32,-94.07,-340.01
pullback,1,0.35,1.5,16,,54,0.7756,0.5782,0.6466,0.3704,0.2963,0.0,0.2222,0.4815,1017.8,-106.16,-320.38
pullback,1,0.4,1.5,16,,54,0.7336,0.5416,0.6195,0.3333,0.2963,0.0,0.2407,0.463,1178.54,-164.34,-474.33
pullback,2,0.1,1.5,20,,51,0.9291,0.6652,0.6709,0.4118,0.4118,0.0,0.5294,0.0588,350.27,-11.19,-110.45
pullback,2,0.15,1.5,20,,54,0.9521,0.6222,0.6689,0.4259,0.4259,0.0,0.5556,0.0185,527.82,5.82,-188.2
pullback,2,0.2,2.0,20,,54,0.941,0.6119,0.7231,0.2778,0.2593,0.0,0.7222,0.0185,736.69,7.83,-265.49
pullback,2,0.25,2.5,20,,54,0.9444,0.6558,0.722,0.3333,0.0926,0.0,0.8704,0.037,980.82,21.58,-334.35
pullback,2,0.3,2.0,20,,54,0.9546,0.7365,0.627,0.3333,0.1852,0.0,0.8148,0.0,1191.74,42.45,-270.09
pullback,2,0.35,2.0,20,,54,0.9729,0.7628,0.5722,0.3148,0.1481,0.0,0.8519,0.0,1469.18,52.93,-332.29
pullback,2,0.4,1.5,20,,54,0.9609,0.8154,0.4411,0.3704,0.2778,0.0,0.7222,0.0,1761.88,12.2,-309.68
pullback,3,0.1,2.0,20,,54,0.8228,0.5228,0.6437,0.2407,0.1667,0.0,0.8333,0.0,413.75,-49.33,-175.32
