signal,dte,delta_target,tp,time_stop_h,sl,n_fires,mean_exit_multiple,median_exit_multiple,std_exit_multiple,win_rate,hit_tp_pct,hit_sl_pct,hit_ts_pct,hit_expiry_pct,mean_entry_ask_usd,expected_dollar_pnl,median_dollar_pnl
pullback,1,0.15,,4,,51,0.6914,0.6029,0.5404,0.098,0.0,0.0,0.9608,0.0392,376.66,-96.61,-140.23
pullback,1,0.15,,4,0.3,51,0.6917,0.6029,0.5401,0.098,0.0,0.0588,0.902,0.0392,376.66,-96.62,-140.23
pullback,1,0.15,,4,0.5,51,0.6963,0.499,0.527,0.098,0.0,0.5294,0.451,0.0196,376.66,-96.95,-137.05
pullback,1,0.15,,8,,51,0.6263,0.425,0.6511,0.1765,0.0,0.0,0.7647,0.2353,376.66,-121.0,-200.27
pullback,1,0.15,,8,0.3,51,0.6034,0.3188,0.6123,0.1373,0.0,0.4706,0.451,0.0784,376.66,-129.82,-194.2
pullback,1,0.15,,8,0.5,51,0.6475,0.486,0.5218,0.098,0.0,0.8431,0.1373,0.0196,376.66,-119.46,-160.96
pullback,1,0.15,,12,,51,0.69,0.4052,1.0017,0.2157,0.0,0.0,0.4706,0.5294,376.66,-102.78,-212.04
pullback,1,0.15,,12,0.3,51,0.585,0.2952,0.75,0.1373,0.0,0.5882,0.2941,0.1176,376.66,-140.6,-199.88
pullback,1,0.15,,12,0.5,51,0.633,0.4854,0.676,0.0784,0.0,0.902,0.0588,0.0392,376.66,-136.06,-164.85
pullback,1,0.15,,16,,51,0.6741,0.3474,0.9651,0.2157,0.0,0.0,0.2941,0.7059,376.66,-81.44,-200.27
pullback,1,0.15,,16,0.3,51,0.5431,0.291,0.6243,0.1176,0.0,0.7255,0.098,0.1765,376.66,-138.3,-199.23
pullback,1,0.15,,16,0.5,51,0.5807,0.4836,0.4632,0.0588,0.0,0.9412,0.0,0.0588,376.66,-154.84,-171.79
pullback,1,0.15,,20,,51,0.5954,0.2751,0.8102,0.1765,0.0,0.0,0.1373,0.8627,376.66,-115.86,-224.19
pullback,1,0.15,,20,0.3,51,0.5273,0.2904,0.6302,0.098,0.0,0.7647,0.0196,0.2157,376.66,-143.19,-200.39
pullback,1,0.15,,20,0.5,51,0.5807,0.4836,0.4632,0.0588,0.0,0.9412,0.0,0.0588,376.66,-154.84,-171.79
pullback,1,0.15,1.3,4,,51,0.7563,0.6292,0.4211,0.2157,0.1961,0.0,0.7843,0.0196,376.66,-88.6,-134.42
pullback,1,0.15,1.3,4,0.3,51,0.7569,0.6292,0.4203,0.2157,0.1961,0.0392,0.7451,0.0196,376.66,-88.47,-134.42
pullback,1,0.15,1.3,4,0.5,51,0.7323,0.591,0.3791,0.1961,0.1765,0.451,0.3725,0.0,376.66,-97.11,-131.9
pullback,1,0.15,1.3,8,,51,0.7084,0.4771,0.5664,0.3137,0.2941,0.0,0.5686,0.1373,376.66,-102.99,-181.58
pullback,1,0.15,1.3,8,0.3,51,0.6966,0.4374,0.5287,0.2941,0.2745,0.3725,0.2941,0.0588,376.66,-109.45,-181.95
pullback,1,0.15,1.3,8,0.5,51,0.7185,0.4893,0.4366,0.2353,0.2353,0.7255,0.0392,0.0,376.66,-104.21,-142.78
pullback,1,0.15,1.3,12,,51,0.7425,0.4993,0.602,0.3725,0.3529,0.0,0.2941,0.3529,376.66,-86.16,-195.36
pullback,1,0.15,1.3,12,0.3,51,0.7128,0.4052,0.5428,0.3137,0.2941,0.451,0.1961,0.0588,376.66,-98.59,-176.47
pullback,1,0.15,1.3,12,0.5,51,0.7183,0.4876,0.4369,0.2353,0.2353,0.7451,0.0196,0.0,376.66,-104.25,-142.78
pullback,1,0.15,1.3,16,,51,0.7752,0.6063,0.6212,0.4118,0.4118,0.0,0.1373,0.451,376.66,-56.26,-142.78
