entry_ts,direction,n_opts,status,contract,sel_dte,sel_delta,sel_spread,sel_iv,entry_ask_usd,outcome,pnl_usd,peak_multiple,hold_hours,rt_fee_usd
2026-01-13 16:00:00+00:00,call,16,OK,16JAN26 91000 P,3.0,0.215,9.3,39.93,420.9,expired,-449.0,,,28.06
2026-01-19 00:00:00+00:00,put,20,OK,22JAN26 91000 P,3.0,0.238,16.4,44.54,606.6,tp_hit,854.0,6.385,0.1,55.89
2026-01-21 16:00:00+00:00,call,15,OK,24JAN26 88000 P,3.0,0.24,9.4,42.95,496.2,tp_hit,690.4,3.545,0.4,53.85
2026-01-25 20:00:00+00:00,put,18,OK,28JAN26 84000 P,3.0,0.238,8.5,50.18,518.6,expired,-544.5,,,25.93
2026-01-29 16:00:00+00:00,put,14,OK,1FEB26 82000 P,3.0,0.191,9.5,46.22,364.4,tp_hit,496.1,14.767,2.4,50.58
2026-02-05 16:00:00+00:00,put,23,OK,8FEB26 63000 P,3.0,0.228,3.7,113.26,910.2,tp_hit,1325.5,4.852,2.3,39.89
2026-02-05 20:00:00+00:00,put,25,OK,8FEB26 60000 P,3.0,0.206,7.6,129.5,878.9,tp_hit,1279.6,2.556,0.3,38.77
2026-02-06 00:00:00+00:00,put,23,OK,9FEB26 58000 P,3.0,0.221,9.7,119.72,1038.7,expired_partial,-1057.3,1.879,0.2,18.6
2026-02-06 12:00:00+00:00,call,29,OK,9FEB26 63000 P,3.0,0.237,8.5,92.37,830.4,expired,-850.3,,,19.93
2026-02-06 16:00:00+00:00,call,28,OK,9FEB26 65000 P,3.0,0.215,11.1,83.41,651.2,expired,-671.7,,,20.56
2026-02-06 20:00:00+00:00,call,25,OK,9FEB26 68000 P,3.0,0.233,13.0,66.27,564.7,tp_hit,804.9,2.937,4.8,42.12
2026-02-07 08:00:00+00:00,put,23,OK,10FEB26 64000 P,3.0,0.216,18.9,91.17,748.4,expired,-768.8,,,20.41
2026-02-07 16:00:00+00:00,call,26,OK,10FEB26 66000 P,3.0,0.232,11.0,76.04,656.4,expired,-677.1,,,20.73
2026-02-08 12:00:00+00:00,call,27,OK,11FEB26 68000 P,3.0,0.244,10.5,72.22,708.8,expired_partial,-729.9,2.0,11.6,21.16
2026-02-09 00:00:00+00:00,put,22,OK,12FEB26 67000 P,3.0,0.237,9.4,77.67,773.6,expired_partial,-794.5,1.909,10.4,20.9
2026-02-09 20:00:00+00:00,call,17,OK,12FEB26 68000 P,3.0,0.213,7.4,65.56,496.1,tp_hit,701.9,4.714,1.6,42.27
