dt,binance_signal,direction,m4h_binance,m1h_binance,has_qualifying_option,opt_data_available,deribit_signal
2026-01-01 00:00:00+00:00,none,,0.122,-0.091,False,False,False
2026-01-01 04:00:00+00:00,none,,0.226,-0.077,False,False,False
2026-01-01 08:00:00+00:00,none,,-0.244,-0.03,False,False,False
2026-01-01 12:00:00+00:00,none,,0.448,0.183,False,False,False
2026-01-01 16:00:00+00:00,none,,0.009,0.074,False,False,False
2026-01-01 20:00:00+00:00,none,,0.408,0.224,False,False,False
2026-01-02 00:00:00+00:00,none,,0.507,0.218,False,False,False
2026-01-02 04:00:00+00:00,none,,0.126,0.354,False,False,False
2026-01-02 08:00:00+00:00,none,,-0.105,-0.087,False,False,False
2026-01-02 12:00:00+00:00,none,,0.726,-0.182,False,False,False
2026-01-02 16:00:00+00:00,none,,-0.095,-0.181,False,False,False
2026-01-02 20:00:00+00:00,none,,0.536,0.138,False,False,False
2026-01-03 00:00:00+00:00,none,,0.109,-0.222,False,False,False
2026-01-03 04:00:00+00:00,none,,0.362,-0.021,False,False,False
2026-01-03 08:00:00+00:00,none,,-0.824,-0.327,False,False,False
2026-01-03 12:00:00+00:00,none,,0.196,-0.002,False,False,False
2026-01-03 16:00:00+00:00,none,,0.241,-0.174,False,False,False
2026-01-03 20:00:00+00:00,none,,0.172,-0.017,False,False,False
2026-01-04 00:00:00+00:00,none,,0.559,0.042,False,False,False
2026-01-04 04:00:00+00:00,none,,0.672,0.124,False,False,False
2026-01-04 08:00:00+00:00,none,,0.324,0.323,False,False,False
2026-01-04 12:00:00+00:00,none,,-0.253,-0.328,False,False,False
2026-01-04 16:00:00+00:00,none,,0.038,-0.002,False,False,False
2026-01-04 20:00:00+00:00,none,,-0.216,-0.074,False,False,False
2026-01-05 00:00:00+00:00,none,,0.43,0.34,False,False,False
2026-01-05 04:00:00+00:00,none,,1.473,-0.166,False,False,False
2026-01-05 08:00:00+00:00,none,,-0.385,0.031,False,False,False
2026-01-05 12:00:00+00:00,none,,0.663,0.058,False,False,False
2026-01-05 16:00:00+00:00,none,,0.884,0.567,False,False,False
2026-01-05 20:00:00+00:00,none,,0.368,-0.155,False,False,False
2026-01-06 00:00:00+00:00,none,,-0.47,-0.331,False,False,False
2026-01-06 04:00:00+00:00,none,,-0.096,0.159,False,False,False
2026-01-06 08:00:00+00:00,none,,-0.548,-0.56,False,False,False
2026-01-06 12:00:00+00:00,none,,0.627,0.278,False,False,False
2026-01-06 16:00:00+00:00,none,,-0.204,-0.2,False,False,False
