tp_multiple,base_rate,frac_reaching,eff_hit_rate,ev_pct
1.2,0.582,0.995,0.579,-30.5
1.2,0.672,0.995,0.669,-19.7
1.2,0.746,0.995,0.742,-10.9
1.2,0.806,0.995,0.802,-3.7
1.2,0.872,0.995,0.868,4.1
1.3,0.582,0.935,0.544,-29.2
1.3,0.672,0.935,0.629,-18.3
1.3,0.746,0.935,0.698,-9.3
1.3,0.806,0.935,0.754,-2.0
1.3,0.872,0.935,0.816,6.0
1.5,0.582,0.817,0.475,-28.7
1.5,0.672,0.817,0.549,-17.7
1.5,0.746,0.817,0.609,-8.6
1.5,0.806,0.817,0.658,-1.3
1.5,0.872,0.817,0.712,6.8
1.75,0.582,0.702,0.409,-28.5
1.75,0.672,0.702,0.472,-17.4
1.75,0.746,0.702,0.524,-8.3
1.75,0.806,0.702,0.566,-0.9
1.75,0.872,0.702,0.612,7.2
2.0,0.582,0.615,0.358,-28.4
2.0,0.672,0.615,0.413,-17.3
2.0,0.746,0.615,0.459,-8.2
2.0,0.806,0.615,0.496,-0.8
2.0,0.872,0.615,0.537,7.3
2.5,0.582,0.486,0.283,-29.3
2.5,0.672,0.486,0.326,-18.4
2.5,0.746,0.486,0.362,-9.4
2.5,0.806,0.486,0.391,-2.1
2.5,0.872,0.486,0.424,5.9
3.0,0.582,0.398,0.231,-30.6
3.0,0.672,0.398,0.267,-19.8
3.0,0.746,0.398,0.297,-11.0
3.0,0.806,0.398,0.32,-3.9
3.0,0.872,0.398,0.347,4.0
4.0,0.582,0.283,0.165,-34.1
4.0,0.672,0.283,0.19,-24.0
4.0,0.746,0.283,0.211,-15.6
4.0,0.806,0.283,0.228,-8.8
4.0,0.872,0.283,0.247,-1.3
5.0,0.582,0.206,0.12,-40.2
5.0,0.672,0.206,0.138,-30.9
5.0,0.746,0.206,0.153,-23.3
5.0,0.806,0.206,0.166,-17.2
5.0,0.872,0.206,0.179,-10.4
