mom_bucket,n,median_hold,pct_direction_correct,side
<-3%,155,3.42,0.8838709677419355,Call
-3–-1.5%,319,6.08,1.0,Call
-1.5–-0.5%,1315,5.25,0.996958174904943,Call
-0.5–+0.5%,3516,6.83,0.9963026166097838,Call
+0.5–+1.5%,1320,4.58,0.9962121212121212,Call
+1.5–+3%,488,2.33,1.0,Call
>+3%,54,0.33,1.0,Call
<-3%,146,2.375,1.0,Put
-3–-1.5%,389,2.42,1.0,Put
-1.5–-0.5%,1593,5.58,1.0,Put
-0.5–+0.5%,4092,5.58,0.9997556207233627,Put
+0.5–+1.5%,1518,5.375,1.0,Put
+1.5–+3%,372,9.33,1.0,Put
>+3%,56,13.29,1.0,Put
