4h_thr,1h_thr,n_options,n_tradeable,base_rate_pct,windows_per_day
≥0.3%,(4h only),2520,1837,72.9,2.67
≥0.3%,≥0.2%,1836,1340,73.0,1.93
≥0.3%,≥0.5%,944,761,80.6,0.93
≥0.3%,≥1.0%,327,279,85.3,0.32
≥0.5%,(4h only),1965,1443,73.4,2.08
≥0.5%,≥0.2%,1485,1091,73.5,1.56
≥0.5%,≥0.5%,857,686,80.0,0.85
≥0.5%,≥1.0%,288,240,83.3,0.29
≥1.0%,(4h only),1016,764,75.2,1.0
≥1.0%,≥0.2%,886,657,74.2,0.88
≥1.0%,≥0.5%,621,497,80.0,0.59
≥1.0%,≥1.0%,259,211,81.5,0.25
≥1.5%,(4h only),538,435,80.9,0.51
≥1.5%,≥0.2%,473,380,80.3,0.45
≥1.5%,≥0.5%,392,342,87.2,0.36
≥1.5%,≥1.0%,202,173,85.6,0.19
≥2.0%,(4h only),290,246,84.8,0.26
≥2.0%,≥0.2%,280,236,84.3,0.25
≥2.0%,≥0.5%,259,234,90.3,0.23
≥2.0%,≥1.0%,166,152,91.6,0.15
