adverse_stop_pct,time_gate_h,pct_winners_preserved
0.5,8,16.1
0.5,12,17.4
0.5,18,18.6
0.5,24,19.3
0.5,36,19.6
0.5,48,19.8
0.5,72,20.0
0.8,8,22.4
0.8,12,24.9
0.8,18,27.2
0.8,24,28.4
0.8,36,29.2
0.8,48,29.5
0.8,72,30.1
1.0,8,26.0
1.0,12,29.6
1.0,18,32.8
1.0,24,34.3
1.0,36,35.5
1.0,48,35.8
1.0,72,36.5
1.2,8,28.5
1.2,12,32.5
1.2,18,36.0
1.2,24,38.0
1.2,36,39.5
1.2,48,39.9
1.2,72,40.7
1.5,8,32.1
1.5,12,37.4
1.5,18,42.1
1.5,24,44.5
1.5,36,46.6
1.5,48,47.1
1.5,72,48.1
2.0,8,36.8
2.0,12,43.2
2.0,18,48.9
2.0,24,52.4
2.0,36,55.4
2.0,48,56.3
2.0,72,57.6
2.5,8,41.0
2.5,12,48.5
2.5,18,55.0
2.5,24,59.1
2.5,36,63.2
2.5,48,64.6
2.5,72,66.2
3.0,8,43.7
3.0,12,51.6
3.0,18,58.6
3.0,24,63.2
3.0,36,68.2
3.0,48,70.0
3.0,72,71.9
