adverse_thr_pct,hours_after_entry,pct_losers_adverse,pct_winners_adverse,stop_selectivity
0.5,2,27.4,12.5,14.9
0.5,4,39.3,15.0,24.3
0.5,8,49.4,17.4,32.0
0.5,12,58.3,18.8,39.5
0.5,24,64.6,23.1,41.5
0.8,2,15.5,5.3,10.2
0.8,4,27.0,8.8,18.1
0.8,8,38.4,11.0,27.4
0.8,12,48.6,14.3,34.3
0.8,24,58.0,19.3,38.7
1.0,2,11.3,3.2,8.2
1.0,4,20.3,6.3,14.0
1.0,8,33.6,8.5,25.0
1.0,12,40.6,11.7,28.9
1.0,24,54.2,17.0,37.2
1.2,2,8.1,2.1,6.1
1.2,4,16.3,3.9,12.4
1.2,8,29.5,7.2,22.3
1.2,12,35.7,8.3,27.5
1.2,24,50.7,15.2,35.4
1.5,2,5.1,1.2,3.8
1.5,4,11.4,2.7,8.7
1.5,8,22.7,4.7,18.0
1.5,12,30.2,5.9,24.3
1.5,24,44.5,12.2,32.3
2.0,2,2.7,0.6,2.1
2.0,4,6.6,1.2,5.4
2.0,8,15.3,2.2,13.2
2.0,12,22.0,3.6,18.5
2.0,24,36.3,8.4,28.0
2.5,2,1.8,0.4,1.4
2.5,4,3.2,0.8,2.4
2.5,8,11.4,1.3,10.1
2.5,12,15.9,2.2,13.7
2.5,24,29.0,6.0,23.0
3.0,2,0.8,0.3,0.5
3.0,4,1.7,0.7,1.0
3.0,8,6.6,0.7,5.8
3.0,12,10.7,1.6,9.1
3.0,24,22.7,3.5,19.1
