time_gate_h,category,n,pct_hit_1.2x
8,peak ≥ 2.0×,9443,58.8
8,peak 1.5–2.0×,3091,60.1
8,peak 1.2–1.5×,2740,63.4
8,all winners,15347,59.8
12,peak ≥ 2.0×,9443,69.0
12,peak 1.5–2.0×,3091,71.3
12,peak 1.2–1.5×,2740,76.1
12,all winners,15347,70.7
18,peak ≥ 2.0×,9443,78.3
18,peak 1.5–2.0×,3091,81.4
18,peak 1.2–1.5×,2740,84.1
18,all winners,15347,79.9
24,peak ≥ 2.0×,9443,85.1
24,peak 1.5–2.0×,3091,86.9
24,peak 1.2–1.5×,2740,88.9
24,all winners,15347,86.1
36,peak ≥ 2.0×,9443,92.6
36,peak 1.5–2.0×,3091,93.7
36,peak 1.2–1.5×,2740,93.9
36,all winners,15347,93.0
48,peak ≥ 2.0×,9443,95.5
48,peak 1.5–2.0×,3091,95.2
48,peak 1.2–1.5×,2740,96.4
48,all winners,15347,95.5
72,peak ≥ 2.0×,9443,99.1
72,peak 1.5–2.0×,3091,98.5
72,peak 1.2–1.5×,2740,98.5
72,all winners,15347,98.9
